Local time,Open,High,Low,Close,Volume
01.05.2024 16:00:00.000 GMT+0100,2304.806,2306.165,2303.565,2305.075,998070.0088999999
01.05.2024 16:15:00.000 GMT+0100,2305.015,2309.385,2302.815,2308.925,1228960.0185
01.05.2024 16:30:00.000 GMT+0100,2308.825,2310.755,2307.105,2307.815,537109.9991
01.05.2024 16:45:00.000 GMT+0100,2307.815,2308.755,2306.135,2307.525,340849.9991
01.05.2024 17:00:00.000 GMT+0100,2307.562,2307.585,2303.455,2304.825,375590.0023
01.05.2024 17:15:00.000 GMT+0100,2304.825,2306.125,2302.105,2306.115,708409.9994999999
01.05.2024 17:30:00.000 GMT+0100,2306.065,2307.182,2304.325,2304.325,548419.9977
01.05.2024 17:45:00.000 GMT+0100,2304.315,2307.295,2303.795,2303.975,869580.0006
01.05.2024 18:00:00.000 GMT+0100,2303.945,2305.275,2302.495,2303.795,612409.9939
01.05.2024 18:15:00.000 GMT+0100,2303.816,2304.915,2299.925,2300.295,988990.0163
01.05.2024 18:30:00.000 GMT+0100,2300.275,2301.615,2298.565,2300.725,785800.0043000003
01.05.2024 18:45:00.000 GMT+0100,2300.725,2301.708,2297.845,2300.885,814370.0008000002
01.05.2024 19:00:00.000 GMT+0100,2300.745,2307.855,2296.435,2303.845,2013870.0046000003
01.05.2024 19:15:00.000 GMT+0100,2303.855,2314.115,2303.395,2313.735,1054390.0018
01.05.2024 19:30:00.000 GMT+0100,2313.745,2326.379,2307.565,2324.405,1767939.9996
01.05.2024 19:45:00.000 GMT+0100,2324.415,2328.665,2320.885,2325.495,1841700.0286
01.05.2024 20:00:00.000 GMT+0100,2325.575,2328.175,2318.782,2323.625,1161750.0037000002
01.05.2024 20:15:00.000 GMT+0100,2323.605,2324.255,2313.955,2321.765,1139020.0034
01.05.2024 20:30:00.000 GMT+0100,2321.815,2323.162,2314.235,2315.285,1595089.9981000002
01.05.2024 20:45:00.000 GMT+0100,2315.175,2318.225,2310.062,2310.102,906420.0038000001
01.05.2024 21:00:00.000 GMT+0100,2310.082,2314.875,2307.385,2314.495,1107889.9988999998
01.05.2024 21:15:00.000 GMT+0100,2314.495,2319.292,2313.965,2318.985,897499.9953
01.05.2024 21:30:00.000 GMT+0100,2318.875,2320.892,2317.255,2318.015,1251380.0078999996
01.05.2024 21:45:00.000 GMT+0100,2318.015,2320.375,2317.336,2320.215,1213619.9978000002
01.05.2024 22:00:00.000 GMT+0100,2320.215,2320.215,2320.215,2320.215,0
01.05.2024 22:15:00.000 GMT+0100,2320.215,2320.215,2320.215,2320.215,0
01.05.2024 22:30:00.000 GMT+0100,2320.215,2320.215,2320.215,2320.215,0
01.05.2024 22:45:00.000 GMT+0100,2320.215,2320.215,2320.215,2320.215,0
01.05.2024 23:00:00.000 GMT+0100,2320.562,2322.165,2318.665,2320.585,265870.0025
01.05.2024 23:15:00.000 GMT+0100,2320.575,2323.605,2320.465,2321.405,112509.99979999999
01.05.2024 23:30:00.000 GMT+0100,2321.335,2322.605,2320.695,2321.985,51899.9995
01.05.2024 23:45:00.000 GMT+0100,2321.945,2322.415,2320.395,2321.232,72449.9996
02.05.2024 00:00:00.000 GMT+0100,2321.345,2322.252,2321.162,2321.895,180109.99870000003
02.05.2024 00:15:00.000 GMT+0100,2321.905,2323.145,2321.595,2322.545,165359.9998
02.05.2024 00:30:00.000 GMT+0100,2322.695,2322.795,2321.225,2322.125,61789.9999
02.05.2024 00:45:00.000 GMT+0100,2322.155,2325.065,2322.115,2323.995,217799.99950000003
02.05.2024 01:00:00.000 GMT+0100,2323.995,2325.815,2323.865,2324.615,150329.9988
02.05.2024 01:15:00.000 GMT+0100,2324.675,2325.325,2323.215,2323.215,117699.9987
02.05.2024 01:30:00.000 GMT+0100,2323.285,2325.335,2323.185,2325.055,124409.9992
02.05.2024 01:45:00.000 GMT+0100,2324.935,2326.175,2324.415,2324.605,155419.9974
02.05.2024 02:00:00.000 GMT+0100,2324.565,2326.695,2323.705,2325.755,116199.99910000002
02.05.2024 02:15:00.000 GMT+0100,2325.935,2326.135,2322.775,2323.115,115980.00060000001
02.05.2024 02:30:00.000 GMT+0100,2323.145,2324.425,2321.995,2323.175,229919.99950000003
