Local time,Open,High,Low,Close,Volume
01.05.2024 00:00:00.000 GMT+0100,2291.225,2292.455,2290.895,2291.605,249289.9993
01.05.2024 00:15:00.000 GMT+0100,2291.615,2292.465,2290.855,2292.045,61929.99939999999
01.05.2024 00:30:00.000 GMT+0100,2292.025,2293.175,2291.735,2292.765,63369.9995
01.05.2024 00:45:00.000 GMT+0100,2292.735,2292.775,2289.925,2291.265,199730.0005
01.05.2024 01:00:00.000 GMT+0100,2291.185,2292.765,2291.185,2292.205,114499.99959999997
01.05.2024 01:15:00.000 GMT+0100,2292.175,2292.555,2288.038,2289.875,122430.0007
01.05.2024 01:30:00.000 GMT+0100,2289.855,2290.535,2287.795,2287.805,264279.9987
01.05.2024 01:45:00.000 GMT+0100,2287.805,2288.475,2285.575,2286.765,293349.99820000003
01.05.2024 02:00:00.000 GMT+0100,2286.685,2288.615,2286.295,2287.145,105689.999
01.05.2024 02:15:00.000 GMT+0100,2287.205,2288.535,2286.725,2287.535,99120.00180000001
01.05.2024 02:30:00.000 GMT+0100,2287.575,2288.145,2285.888,2288.115,441800.0040000001
01.05.2024 02:45:00.000 GMT+0100,2288.085,2289.315,2287.435,2287.875,729679.9996999999
01.05.2024 03:00:00.000 GMT+0100,2287.875,2288.495,2286.595,2287.098,377510.0028
01.05.2024 03:15:00.000 GMT+0100,2287.085,2287.968,2286.978,2287.718,261569.99859999996
01.05.2024 03:30:00.000 GMT+0100,2287.605,2288.195,2286.598,2287.985,312369.99580000003
01.05.2024 03:45:00.000 GMT+0100,2287.934,2288.515,2286.935,2287.875,47760.0003
01.05.2024 04:00:00.000 GMT+0100,2287.855,2288.225,2286.825,2287.195,72989.99919999999
01.05.2024 04:15:00.000 GMT+0100,2287.205,2287.435,2284.795,2287.435,116569.99909999999
01.05.2024 04:30:00.000 GMT+0100,2287.325,2287.405,2285.225,2285.495,68780.00040000002
01.05.2024 04:45:00.000 GMT+0100,2285.615,2285.675,2282.745,2284.075,119509.99969999999
01.05.2024 05:00:00.000 GMT+0100,2284.025,2284.435,2281.805,2282.485,139500.0006
01.05.2024 05:15:00.000 GMT+0100,2282.298,2283.395,2281.515,2283.345,286660.00270000007
01.05.2024 05:30:00.000 GMT+0100,2283.345,2285.355,2283.155,2284.178,84169.9995
01.05.2024 05:45:00.000 GMT+0100,2284.158,2284.315,2282.925,2283.105,90339.99840000001
01.05.2024 06:00:00.000 GMT+0100,2283.045,2286.355,2282.435,2286.205,106239.9985
01.05.2024 06:15:00.000 GMT+0100,2286.305,2286.608,2284.698,2285.318,146239.9995
01.05.2024 06:30:00.000 GMT+0100,2285.325,2287.695,2285.225,2286.998,337519.9965999999
01.05.2024 06:45:00.000 GMT+0100,2287.098,2288.315,2286.795,2287.348,195460.0014
01.05.2024 07:00:00.000 GMT+0100,2287.348,2288.015,2286.295,2287.385,460130.0005
01.05.2024 07:15:00.000 GMT+0100,2287.465,2289.165,2287.285,2288.695,369780.00020000007
01.05.2024 07:30:00.000 GMT+0100,2288.685,2289.695,2287.495,2288.725,207640.00179999997
01.05.2024 07:45:00.000 GMT+0100,2288.725,2288.965,2286.575,2286.705,331770.00149999995
01.05.2024 08:00:00.000 GMT+0100,2286.685,2287.825,2286.275,2286.355,435999.99890000006
01.05.2024 08:15:00.000 GMT+0100,2286.355,2287.275,2285.855,2286.698,597260.0022000001
01.05.2024 08:30:00.000 GMT+0100,2286.735,2286.818,2283.365,2283.875,445060.00359999994
01.05.2024 08:45:00.000 GMT+0100,2283.875,2286.105,2283.425,2285.725,394959.99940000003
01.05.2024 09:00:00.000 GMT+0100,2285.725,2286.685,2284.495,2285.675,454859.99899999995
01.05.2024 09:15:00.000 GMT+0100,2285.665,2285.895,2283.695,2285.795,238599.99879999997
01.05.2024 09:30:00.000 GMT+0100,2285.795,2286.525,2284.325,2284.565,181170.00069999998
01.05.2024 09:45:00.000 GMT+0100,2284.555,2286.285,2283.815,2286.155,404629.99619999994
01.05.2024 10:00:00.000 GMT+0100,2286.155,2289.225,2285.595,2288.235,613389.9994999999
01.05.2024 10:15:00.000 GMT+0100,2288.235,2288.235,2285.958,2287.335,313269.9997
01.05.2024 10:30:00.000 GMT+0100,2287.335,2289.735,2287.235,2289.455,452509.99729999993
01.05.2024 10:45:00.000 GMT+0100,2289.435,2293.005,2289.255,2291.865,279030.0037
01.05.2024 11:00:00.000 GMT+0100,2291.975,2291.975,2288.985,2291.435,304280.0045
01.05.2024 11:15:00.000 GMT+0100,2291.465,2292.125,2290.255,2291.545,389539.9966
01.05.2024 11:30:00.000 GMT+0100,2291.525,2291.955,2289.978,2290.935,257559.99879999997
01.05.2024 11:45:00.000 GMT+0100,2290.935,2294.215,2290.685,2293.018,348550.00210000004
01.05.2024 12:00:00.000 GMT+0100,2293.015,2293.645,2291.288,2292.385,395280.0016000001
01.05.2024 12:15:00.000 GMT+0100,2292.428,2294.665,2291.998,2294.625,587850.01
01.05.2024 12:30:00.000 GMT+0100,2294.625,2296.975,2293.898,2294.498,747500.0060000002
01.05.2024 12:45:00.000 GMT+0100,2294.495,2294.795,2293.305,2294.445,605060.0017
01.05.2024 13:00:00.000 GMT+0100,2294.445,2297.958,2294.085,2297.395,1162650.0080000001
01.05.2024 13:15:00.000 GMT+0100,2297.395,2298.625,2294.375,2295.435,1118949.9961
01.05.2024 13:30:00.000 GMT+0100,2295.445,2298.175,2294.028,2297.235,1172339.9907
01.05.2024 13:45:00.000 GMT+0100,2297.298,2299.905,2296.855,2298.125,903159.9927999999
01.05.2024 14:00:00.000 GMT+0100,2298.155,2298.365,2295.145,2296.115,633240.0014
01.05.2024 14:15:00.000 GMT+0100,2296.095,2302.135,2295.605,2300.938,940819.9992999999
01.05.2024 14:30:00.000 GMT+0100,2300.938,2303.085,2299.368,2301.775,1989149.9877000004
01.05.2024 14:45:00.000 GMT+0100,2301.875,2303.325,2299.635,2302.934,1828189.9914
01.05.2024 15:00:00.000 GMT+0100,2302.934,2310.278,2302.495,2309.728,2634080.0226000003
01.05.2024 15:15:00.000 GMT+0100,2309.725,2309.728,2303.535,2305.705,2205890.0148
01.05.2024 15:30:00.000 GMT+0100,2305.735,2306.165,2299.535,2300.018,1960929.9825000002
01.05.2024 15:45:00.000 GMT+0100,2300.015,2304.745,2297.325,2304.355,1078940.0003999998
01.05.2024 16:00:00.000 GMT+0100,2304.535,2305.745,2303.125,2304.705,1748019.9932
01.05.2024 16:15:00.000 GMT+0100,2304.705,2309.005,2302.385,2308.535,1411340.0056
01.05.2024 16:30:00.000 GMT+0100,2308.535,2310.325,2306.765,2307.495,1421449.9965
01.05.2024 16:45:00.000 GMT+0100,2307.525,2308.415,2305.785,2307.128,1026379.9913
01.05.2024 17:00:00.000 GMT+0100,2307.215,2307.238,2303.084,2304.445,1001739.9935
01.05.2024 17:15:00.000 GMT+0100,2304.455,2305.675,2301.705,2305.675,701950.0063
01.05.2024 17:30:00.000 GMT+0100,2305.645,2306.735,2303.898,2303.898,757830.0015000001
01.05.2024 17:45:00.000 GMT+0100,2303.898,2306.878,2303.378,2303.618,729600.0011
01.05.2024 18:00:00.000 GMT+0100,2303.515,2304.855,2302.095,2303.395,756359.9964000001
01.05.2024 18:15:00.000 GMT+0100,2303.385,2304.495,2299.535,2299.878,698310.0027999999
