Local time,Open,High,Low,Close,Volume
03.05.2024 17:00:00.000 GMT+0100,2293.608,2300.165,2292.735,2299.185,3681459.9037
03.05.2024 18:00:00.000 GMT+0100,2299.135,2302.985,2296.268,2301.915,2986170.0535
03.05.2024 19:00:00.000 GMT+0100,2301.955,2302.825,2297.275,2299.145,2112070.0836
03.05.2024 20:00:00.000 GMT+0100,2299.145,2301.368,2295.875,2301.268,1233940.0053
03.05.2024 21:00:00.000 GMT+0100,2301.255,2303.235,2300.545,2301.175,1175780.0579
03.05.2024 22:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
03.05.2024 23:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 00:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 01:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 02:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 03:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 04:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 05:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 06:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 07:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 08:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 09:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 10:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 11:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 12:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 13:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 14:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 15:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 16:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 17:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 18:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 19:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 20:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 21:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 22:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
04.05.2024 23:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 00:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 01:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 02:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 03:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 04:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 05:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 06:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 07:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 08:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 09:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 10:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 11:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 12:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 13:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 14:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 15:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 16:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
05.05.2024 17:00:00.000 GMT+0100,2301.175,2301.175,2301.175,2301.175,0
