Local time,Open,High,Low,Close,Volume
03.05.2024 17:00:00.000 GMT+0100,2294.035,2300.532,2293.145,2299.562,2430949.9264
03.05.2024 18:00:00.000 GMT+0100,2299.545,2303.415,2296.555,2302.355,1163849.9498
03.05.2024 19:00:00.000 GMT+0100,2302.385,2303.245,2297.605,2299.575,1176390.0518
03.05.2024 20:00:00.000 GMT+0100,2299.582,2301.705,2296.295,2301.635,1248340.0106
03.05.2024 21:00:00.000 GMT+0100,2301.635,2303.675,2300.985,2302.895,1079890.0127
03.05.2024 22:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
03.05.2024 23:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 00:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 01:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 02:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 03:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 04:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 05:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 06:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 07:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 08:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 09:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 10:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 11:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 12:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 13:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 14:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 15:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 16:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 17:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 18:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 19:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 20:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 21:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 22:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
04.05.2024 23:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 00:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 01:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 02:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 03:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 04:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 05:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 06:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 07:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 08:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 09:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 10:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 11:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 12:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 13:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 14:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 15:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 16:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 17:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 18:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 19:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 20:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 21:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 22:00:00.000 GMT+0100,2302.895,2302.895,2302.895,2302.895,0
05.05.2024 23:00:00.000 GMT+0100,2305.525,2306.502,2300.695,2302.225,277839.9885
06.05.2024 00:00:00.000 GMT+0100,2302.225,2303.115,2293.645,2294.355,1158720.0165
06.05.2024 01:00:00.000 GMT+0100,2294.335,2298.285,2292.122,2296.365,2388940.0959
06.05.2024 02:00:00.000 GMT+0100,2296.342,2309.306,2296.165,2308.675,4636980.0568
06.05.2024 03:00:00.000 GMT+0100,2308.675,2315.655,2307.865,2311.482,3182470.0832
06.05.2024 04:00:00.000 GMT+0100,2311.445,2312.325,2308.696,2309.535,1522799.9687
06.05.2024 05:00:00.000 GMT+0100,2309.565,2311.995,2308.345,2309.495,959399.9982
06.05.2024 06:00:00.000 GMT+0100,2309.495,2314.265,2309.055,2313.752,2235869.8845
06.05.2024 07:00:00.000 GMT+0100,2313.692,2315.125,2311.975,2314.452,2749560.1177
06.05.2024 08:00:00.000 GMT+0100,2314.485,2324.502,2312.615,2323.072,3177099.9432
06.05.2024 09:00:00.000 GMT+0100,2323.055,2323.405,2317.635,2318.585,1962394.9528
06.05.2024 10:00:00.000 GMT+0100,2318.585,2322.000,2315.895,2321.455,1775364.995
06.05.2024 11:00:00.000 GMT+0100,2321.445,2322.000,2319.062,2319.602,1685315.0129
06.05.2024 12:00:00.000 GMT+0100,2319.675,2322.725,2316.225,2318.485,1389199.9722
06.05.2024 13:00:00.000 GMT+0100,2318.485,2330.572,2314.815,2323.645,2569474.9355
06.05.2024 14:00:00.000 GMT+0100,2323.645,2332.345,2321.915,2328.185,5120500.0877
06.05.2024 15:00:00.000 GMT+0100,2328.265,2330.885,2319.322,2321.405,4681149.9596
06.05.2024 16:00:00.000 GMT+0100,2321.305,2325.805,2319.845,2325.065,3588449.955
06.05.2024 17:00:00.000 GMT+0100,2325.065,2327.685,2318.005,2325.885,3419950.0084
06.05.2024 18:00:00.000 GMT+0100,2325.905,2326.502,2321.295,2324.915,1648859.9777
06.05.2024 19:00:00.000 GMT+0100,2324.915,2326.885,2324.625,2326.605,1630879.9982
06.05.2024 20:00:00.000 GMT+0100,2326.575,2327.385,2323.845,2325.292,2096760.0346
06.05.2024 21:00:00.000 GMT+0100,2325.245,2329.132,2323.785,2324.515,799099.9818
06.05.2024 22:00:00.000 GMT+0100,2324.515,2324.515,2324.515,2324.515,0
06.05.2024 23:00:00.000 GMT+0100,2325.415,2327.255,2324.895,2327.085,661809.9809
07.05.2024 00:00:00.000 GMT+0100,2327.085,2327.282,2322.505,2326.255,983500.0038
07.05.2024 01:00:00.000 GMT+0100,2326.305,2329.715,2325.765,2329.485,868579.9837
07.05.2024 02:00:00.000 GMT+0100,2329.485,2330.115,2322.725,2323.055,1428689.9567
07.05.2024 03:00:00.000 GMT+0100,2323.035,2324.595,2319.905,2321.795,960590.0049
07.05.2024 04:00:00.000 GMT+0100,2321.775,2325.315,2321.455,2325.185,578980.0286
07.05.2024 05:00:00.000 GMT+0100,2325.215,2325.325,2321.635,2322.935,910250.0081
07.05.2024 06:00:00.000 GMT+0100,2322.925,2323.546,2320.532,2321.745,1091349.9594
07.05.2024 07:00:00.000 GMT+0100,2321.725,2321.725,2318.545,2320.732,840690.0167
07.05.2024 08:00:00.000 GMT+0100,2320.742,2322.265,2317.985,2319.635,1683699.9655
07.05.2024 09:00:00.000 GMT+0100,2319.655,2320.205,2311.955,2316.012,2623850.1072
07.05.2024 10:00:00.000 GMT+0100,2315.995,2317.542,2312.965,2314.082,1628829.9561
07.05.2024 11:00:00.000 GMT+0100,2314.062,2316.205,2312.375,2315.615,2096290.1115
07.05.2024 12:00:00.000 GMT+0100,2315.615,2316.795,2312.405,2312.595,2912909.9846
07.05.2024 13:00:00.000 GMT+0100,2312.595,2317.625,2310.255,2316.305,5707300.1862
07.05.2024 14:00:00.000 GMT+0100,2316.325,2323.965,2315.625,2318.775,7967110.157
07.05.2024 15:00:00.000 GMT+0100,2318.785,2322.725,2312.835,2314.495,5646880.1498
07.05.2024 16:00:00.000 GMT+0100,2314.495,2319.435,2313.052,2315.005,4645249.8436
07.05.2024 17:00:00.000 GMT+0100,2315.005,2316.415,2312.672,2312.772,3511149.8833
07.05.2024 18:00:00.000 GMT+0100,2312.765,2317.775,2311.375,2314.435,3010689.9738
07.05.2024 19:00:00.000 GMT+0100,2314.342,2315.645,2313.325,2314.812,1326709.9857
07.05.2024 20:00:00.000 GMT+0100,2314.846,2315.915,2312.105,2314.972,2294070.0054
07.05.2024 21:00:00.000 GMT+0100,2314.995,2315.835,2313.055,2314.405,1101770.0434
07.05.2024 22:00:00.000 GMT+0100,2314.405,2314.405,2314.405,2314.405,0
07.05.2024 23:00:00.000 GMT+0100,2315.225,2317.235,2314.185,2314.865,197459.9957
08.05.2024 00:00:00.000 GMT+0100,2314.865,2316.555,2314.545,2315.485,262600.0047
08.05.2024 01:00:00.000 GMT+0100,2315.505,2316.605,2314.115,2314.405,776449.9784
