Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT-0000,2746.545,2747.175,2744.695,2744.888,1231199.9798
01.11.2024 01:00:00.000 GMT-0000,2744.865,2749.895,2744.705,2749.645,3507719.9936
01.11.2024 02:00:00.000 GMT-0000,2749.635,2750.875,2745.625,2748.595,4170119.7624
01.11.2024 03:00:00.000 GMT-0000,2748.615,2751.805,2747.255,2751.625,2353229.9995
01.11.2024 04:00:00.000 GMT-0000,2751.625,2752.815,2750.615,2752.095,771329.999
01.11.2024 05:00:00.000 GMT-0000,2752.095,2755.045,2751.485,2754.825,1937579.9894
01.11.2024 06:00:00.000 GMT-0000,2754.855,2757.535,2751.145,2751.858,3124109.9834
01.11.2024 07:00:00.000 GMT-0000,2751.855,2753.025,2747.055,2749.555,4396999.836
01.11.2024 08:00:00.000 GMT-0000,2749.535,2754.948,2748.455,2753.335,3593209.9819
01.11.2024 09:00:00.000 GMT-0000,2753.335,2755.345,2747.854,2751.255,2214509.964
01.11.2024 10:00:00.000 GMT-0000,2751.255,2751.735,2744.685,2749.515,3435899.9729
01.11.2024 11:00:00.000 GMT-0000,2749.535,2753.985,2749.535,2752.795,1950610.0416
01.11.2024 12:00:00.000 GMT-0000,2752.815,2759.725,2747.985,2753.688,5064789.772
01.11.2024 13:00:00.000 GMT-0000,2753.635,2762.048,2751.995,2755.458,4318389.8926
01.11.2024 14:00:00.000 GMT-0000,2755.778,2758.728,2739.575,2747.105,6851620.1973
01.11.2024 15:00:00.000 GMT-0000,2747.215,2750.155,2742.448,2744.635,7021920.2042
01.11.2024 16:00:00.000 GMT-0000,2744.625,2746.005,2740.335,2743.005,7060379.982
01.11.2024 17:00:00.000 GMT-0000,2743.005,2743.785,2734.985,2736.215,6185750.0076
01.11.2024 18:00:00.000 GMT-0000,2736.178,2737.915,2733.405,2736.085,5222730.1598
01.11.2024 19:00:00.000 GMT-0000,2736.115,2736.935,2733.095,2734.035,4065549.8505
01.11.2024 20:00:00.000 GMT-0000,2734.025,2736.675,2733.168,2735.895,2019659.996
01.11.2024 21:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 22:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 02:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 03:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 04:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 05:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 06:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 07:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 08:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 09:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 10:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 11:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 12:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 13:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 14:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 15:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 16:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 17:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 18:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 19:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 20:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 21:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 22:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 23:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 00:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 01:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 02:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 03:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 04:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 05:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 06:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 07:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
03.11.2024 08:00:00.000 GMT-0000,2735.895,2735.895,2735.895,2735.895,0
