Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT-0000,2746.985,2747.535,2746.115,2747.445,187110.0011
01.11.2024 00:05:00.000 GMT-0000,2747.436,2747.595,2746.445,2746.765,147870.0005
01.11.2024 00:10:00.000 GMT-0000,2746.755,2747.432,2746.652,2747.195,154770.0036
01.11.2024 00:15:00.000 GMT-0000,2747.195,2747.305,2746.162,2746.775,128100.0003
01.11.2024 00:20:00.000 GMT-0000,2746.775,2747.495,2746.505,2747.142,128400.0016
01.11.2024 00:25:00.000 GMT-0000,2747.136,2747.202,2746.095,2746.895,116939.99919999999
01.11.2024 00:30:00.000 GMT-0000,2746.885,2747.052,2745.952,2745.952,84659.99829999999
01.11.2024 00:35:00.000 GMT-0000,2745.952,2746.552,2745.942,2746.105,123179.99920000002
01.11.2024 00:40:00.000 GMT-0000,2746.105,2746.785,2745.712,2746.752,152670.0016
01.11.2024 00:45:00.000 GMT-0000,2746.775,2747.252,2746.292,2747.055,184530.0011
01.11.2024 00:50:00.000 GMT-0000,2747.012,2747.012,2745.565,2745.815,298229.99610000005
01.11.2024 00:55:00.000 GMT-0000,2745.815,2746.202,2745.142,2745.342,296429.99919999996
01.11.2024 01:00:00.000 GMT-0000,2745.246,2746.965,2745.146,2746.812,527189.9998999999
01.11.2024 01:05:00.000 GMT-0000,2746.825,2747.532,2746.192,2746.975,325589.99580000003
01.11.2024 01:10:00.000 GMT-0000,2746.915,2748.095,2746.775,2747.442,246059.9989
01.11.2024 01:15:00.000 GMT-0000,2747.466,2747.545,2746.142,2746.555,443159.9955000001
01.11.2024 01:20:00.000 GMT-0000,2746.555,2747.055,2745.725,2746.435,132059.99970000001
01.11.2024 01:25:00.000 GMT-0000,2746.455,2748.085,2746.405,2747.216,213360.00420000002
01.11.2024 01:30:00.000 GMT-0000,2747.222,2748.432,2746.532,2747.355,429730.01290000003
01.11.2024 01:35:00.000 GMT-0000,2747.375,2747.742,2746.315,2746.456,282420.00200000004
01.11.2024 01:40:00.000 GMT-0000,2746.445,2747.165,2745.615,2746.982,322009.9938
