Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT-0000,2746.985,2747.595,2746.115,2747.195,489750.0052
01.11.2024 00:15:00.000 GMT-0000,2747.195,2747.495,2746.095,2746.895,373440.00109999994
01.11.2024 00:30:00.000 GMT-0000,2746.885,2747.052,2745.712,2746.752,360509.9991
01.11.2024 00:45:00.000 GMT-0000,2746.775,2747.252,2745.142,2745.342,779189.9964000002
01.11.2024 01:00:00.000 GMT-0000,2745.246,2748.095,2745.146,2747.442,1098839.9945999999
01.11.2024 01:15:00.000 GMT-0000,2747.466,2748.085,2745.725,2747.216,788579.9994000001
01.11.2024 01:30:00.000 GMT-0000,2747.222,2748.432,2745.615,2746.982,1034160.0087000001
01.11.2024 01:45:00.000 GMT-0000,2747.066,2750.306,2746.975,2750.022,1071539.9962
01.11.2024 02:00:00.000 GMT-0000,2750.015,2751.275,2746.765,2747.185,582670.0051000001
01.11.2024 02:15:00.000 GMT-0000,2747.185,2748.665,2746.905,2748.352,341939.99880000006
01.11.2024 02:30:00.000 GMT-0000,2748.425,2749.975,2746.035,2748.935,473040.00149999995
01.11.2024 02:45:00.000 GMT-0000,2748.915,2749.325,2746.555,2749.005,384090.0007
01.11.2024 03:00:00.000 GMT-0000,2749.025,2749.465,2747.645,2749.175,317850.00020000007
01.11.2024 03:15:00.000 GMT-0000,2749.165,2750.445,2748.585,2750.285,271020.00179999997
01.11.2024 03:30:00.000 GMT-0000,2750.205,2751.415,2749.335,2750.052,317639.9961
01.11.2024 03:45:00.000 GMT-0000,2750.022,2752.202,2749.652,2752.085,697890.0023
01.11.2024 04:00:00.000 GMT-0000,2752.026,2752.305,2751.416,2751.655,248550.0035
01.11.2024 04:15:00.000 GMT-0000,2751.636,2752.085,2751.046,2752.015,258960.0026
01.11.2024 04:30:00.000 GMT-0000,2751.995,2752.725,2751.505,2752.515,107670.0002
01.11.2024 04:45:00.000 GMT-0000,2752.506,2753.252,2751.735,2752.552,436589.9991000001
01.11.2024 05:00:00.000 GMT-0000,2752.556,2753.265,2752.482,2752.775,332490.00029999996
01.11.2024 05:15:00.000 GMT-0000,2752.825,2753.265,2751.905,2752.435,207089.99870000005
01.11.2024 05:30:00.000 GMT-0000,2752.405,2754.395,2752.155,2753.385,626430
01.11.2024 05:45:00.000 GMT-0000,2753.385,2755.455,2753.112,2755.215,545129.994
