Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT-0000,2746.985,2747.595,2745.142,2745.342,2002890.11
01.11.2024 01:00:00.000 GMT-0000,2745.246,2750.306,2745.146,2750.022,3993119.9551
01.11.2024 02:00:00.000 GMT-0000,2750.015,2751.275,2746.035,2749.005,1781739.9502
01.11.2024 03:00:00.000 GMT-0000,2749.025,2752.202,2747.645,2752.085,1604400.0387
01.11.2024 04:00:00.000 GMT-0000,2752.026,2753.252,2751.046,2752.552,1051769.9718
01.11.2024 05:00:00.000 GMT-0000,2752.556,2755.455,2751.905,2755.215,1711140.0366
01.11.2024 06:00:00.000 GMT-0000,2755.245,2757.942,2751.535,2752.265,3180219.8887
01.11.2024 07:00:00.000 GMT-0000,2752.245,2753.415,2747.412,2749.922,3159159.8988
01.11.2024 08:00:00.000 GMT-0000,2749.955,2755.345,2748.856,2753.672,2962470.0546
01.11.2024 09:00:00.000 GMT-0000,2753.685,2755.645,2748.235,2751.602,4498270.0348
01.11.2024 10:00:00.000 GMT-0000,2751.612,2752.135,2745.065,2749.886,2459779.9778
01.11.2024 11:00:00.000 GMT-0000,2749.886,2754.345,2749.886,2753.215,3650569.9158
01.11.2024 12:00:00.000 GMT-0000,2753.215,2760.065,2750.152,2754.025,8027640.3427
01.11.2024 13:00:00.000 GMT-0000,2754.025,2762.485,2752.422,2756.492,9621600.1511
01.11.2024 14:00:00.000 GMT-0000,2756.535,2759.302,2739.875,2747.395,9082730.2933
01.11.2024 15:00:00.000 GMT-0000,2747.475,2750.585,2742.815,2744.955,5187369.8235
01.11.2024 16:00:00.000 GMT-0000,2744.955,2746.365,2740.685,2743.376,2767570.0188
01.11.2024 17:00:00.000 GMT-0000,2743.362,2744.156,2735.346,2736.592,2634299.9935
01.11.2024 18:00:00.000 GMT-0000,2736.526,2738.275,2733.752,2736.435,2260489.9406
01.11.2024 19:00:00.000 GMT-0000,2736.475,2737.302,2733.425,2734.416,2071949.9588
01.11.2024 20:00:00.000 GMT-0000,2734.382,2737.166,2733.492,2736.905,997449.9941
01.11.2024 21:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
01.11.2024 22:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
01.11.2024 23:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 00:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 01:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 02:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 03:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 04:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 05:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 06:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 07:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 08:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 09:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 10:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 11:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 12:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 13:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 14:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 15:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 16:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 17:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
02.11.2024 18:00:00.000 GMT-0000,2736.905,2736.905,2736.905,2736.905,0
